ART Delay to VL suppression,ART Efficacy,Acute Duration In Months,Acute Stage Infectivity Multiplier ,Base Infectivity,Circumcision Reduced Acquire,Delay Period ART Dropout,Demographic Coverage Seeding,Infmrl Condoms Late,Infmrl Form Rate,Infrml Condom Mid,Infrml Condom Rate,Infrml Dur Het,Male To Female Old,Male To Female Young,Mrtl Condom Max,Mrtl Condom Mid,Mrtl Condom Rate,Mrtl Form Rate,Rakai: LOW Risk,Risk Assortivity,SeedYr HIGH,Trns Condom Late,Trns Condom Mid,Trns Condom Rate,Trns Form Rate,iteration_number,likelihood,parameterization_id,run_number,sim_id
200.45077093258948,0.1,4.291064588850656,20.724689446321463,0.0011526165720711773,0.6898269380352723,2617.9297479755046,0.04123794812049325,0.2,0.0037246174813016595,1995.7302227252521,6.21669699516809,0.635555909222555,3.095399598359547,2.6870993909761793,0.2792758539261757,2002.5763782495562,1.9482002840469599,0.0007476019409964868,0.9072986331697581,0.2891650338812222,1979.9024149921236,0.6189461088542754,1999.730043719906,4.011368262835057,0.00012,10,89.09864470954568,10,53,aa8840a4-809b-ee11-9eff-b88303912b51
200.45077093258948,0.1,4.291064588850656,20.724689446321463,0.0011526165720711773,0.6898269380352723,2617.9297479755046,0.04123794812049325,0.2,0.0037246174813016595,1995.7302227252521,6.21669699516809,0.635555909222555,3.095399598359547,2.6870993909761793,0.2792758539261757,2002.5763782495562,1.9482002840469599,0.0007476019409964868,0.9072986331697581,0.2891650338812222,1979.9024149921236,0.6189461088542754,1999.730043719906,4.011368262835057,0.00012,10,89.09864470954568,11,41824,4eac7ec3-809b-ee11-9eff-b88303912b51
285.1611527447511,0.090557050614097,3.7315834863530517,13.16651615432982,0.0013703494938891562,0.7169556003817475,3540.576062168847,0.05145351727251793,0.2164361250668097,0.0044049440484141816,1995.0,3.746091018833317,0.5459691053724954,2.2579631153272617,3.605500580689549,0.19014571818875003,2001.1601370115975,2.789617795871656,0.0009608188832763075,0.8873449660939275,0.33648524206186275,1985.0,0.700738716529363,2000.204164194656,4.400287163339537,0.00012,11,89.0597227632267,12,25028,a64de7a3-8a9b-ee11-9eff-b88303912b51
285.1611527447511,0.090557050614097,3.7315834863530517,13.16651615432982,0.0013703494938891562,0.7169556003817475,3540.576062168847,0.05145351727251793,0.2164361250668097,0.0044049440484141816,1995.0,3.746091018833317,0.5459691053724954,2.2579631153272617,3.605500580689549,0.19014571818875003,2001.1601370115975,2.789617795871656,0.0009608188832763075,0.8873449660939275,0.33648524206186275,1985.0,0.700738716529363,2000.204164194656,4.400287163339537,0.00012,11,89.0597227632267,13,14930,8242581b-8b9b-ee11-9eff-b88303912b51
285.1611527447511,0.090557050614097,3.7315834863530517,13.16651615432982,0.0013703494938891562,0.7169556003817475,3540.576062168847,0.05145351727251793,0.2164361250668097,0.0044049440484141816,1995.0,3.746091018833317,0.5459691053724954,2.2579631153272617,3.605500580689549,0.19014571818875003,2001.1601370115975,2.789617795871656,0.0009608188832763075,0.8873449660939275,0.33648524206186275,1985.0,0.700738716529363,2000.204164194656,4.400287163339537,0.00012,11,89.0597227632267,14,10645,9006c140-8b9b-ee11-9eff-b88303912b51
140.58494866203023,0.1,5.0,10.0,0.0012434632549309314,0.6642682582451105,1563.4312665149791,0.05878147918830803,0.2,0.005567078634075533,1995.0,5.464780119961279,0.41857547366831255,2.0795289112611943,3.5701420209399957,0.24686357475277299,2002.6647931402513,2.880845932383691,0.0009144018620720873,0.9050684141939074,0.3425104627616957,1978.6771521454905,0.6227842259416948,1995.4359918763641,4.795473448940038,0.00012,9,89.05719400286323,15,2375,fb397353-749b-ee11-9eff-b88303912b51
140.58494866203023,0.1,5.0,10.0,0.0012434632549309314,0.6642682582451105,1563.4312665149791,0.05878147918830803,0.2,0.005567078634075533,1995.0,5.464780119961279,0.41857547366831255,2.0795289112611943,3.5701420209399957,0.24686357475277299,2002.6647931402513,2.880845932383691,0.0009144018620720873,0.9050684141939074,0.3425104627616957,1978.6771521454905,0.6227842259416948,1995.4359918763641,4.795473448940038,0.00012,9,89.05719400286323,16,6843,f655f8cf-749b-ee11-9eff-b88303912b51
140.58494866203023,0.1,5.0,10.0,0.0012434632549309314,0.6642682582451105,1563.4312665149791,0.05878147918830803,0.2,0.005567078634075533,1995.0,5.464780119961279,0.41857547366831255,2.0795289112611943,3.5701420209399957,0.24686357475277299,2002.6647931402513,2.880845932383691,0.0009144018620720873,0.9050684141939074,0.3425104627616957,1978.6771521454905,0.6227842259416948,1995.4359918763641,4.795473448940038,0.00012,9,89.05719400286323,17,45891,2e714bf0-749b-ee11-9eff-b88303912b51
173.4667403184116,0.08606423637085943,4.030791431968058,10.0,0.001497865894716792,0.6788040647881256,1717.0861386638346,0.0518888887586013,0.24455665404946936,0.004941194793858315,1995.16034914833,4.551251149111607,0.49512275356727176,1.6625773713423233,4.4991012068453,0.3036989214160728,2003.5245526844037,3.467277553380489,0.001,0.9069492642932239,0.4129027765158304,1982.1150268902131,0.6017216479542593,1997.7490869734004,4.502435080323834,0.00012,5,89.03864643740248,18,61721,264ef69c-af9a-ee11-9eff-b88303912b51
173.4667403184116,0.08606423637085943,4.030791431968058,10.0,0.001497865894716792,0.6788040647881256,1717.0861386638346,0.0518888887586013,0.24455665404946936,0.004941194793858315,1995.16034914833,4.551251149111607,0.49512275356727176,1.6625773713423233,4.4991012068453,0.3036989214160728,2003.5245526844037,3.467277553380489,0.001,0.9069492642932239,0.4129027765158304,1982.1150268902131,0.6017216479542593,1997.7490869734004,4.502435080323834,0.00012,5,89.03864643740248,19,52985,346ac1e3-af9a-ee11-9eff-b88303912b51
173.4667403184116,0.08606423637085943,4.030791431968058,10.0,0.001497865894716792,0.6788040647881256,1717.0861386638346,0.0518888887586013,0.24455665404946936,0.004941194793858315,1995.16034914833,4.551251149111607,0.49512275356727176,1.6625773713423233,4.4991012068453,0.3036989214160728,2003.5245526844037,3.467277553380489,0.001,0.9069492642932239,0.4129027765158304,1982.1150268902131,0.6017216479542593,1997.7490869734004,4.502435080323834,0.00012,5,89.03864643740248,20,11775,962d29fe-af9a-ee11-9eff-b88303912b51
