"Year","Sex","Age","model","seroconversions","Person-years","Incidence","lb","ub"
"Women",2007,"25-34","gamfit",35,2681,1.46,1.25,1.7
"Women",2007,"35-49","gamfit",15,1628,0.93,0.74,1.18
"Women",2007,"35-49","glmfit",15,1628,0.92,0.56,1.53
"Women",2009,"15-24","glmfit",27,1785,1.51,1.04,2.21
"Women",2009,"15-24","gamfit",27,1785,1.44,1.17,1.77
"Women",2009,"25-34","glmfit",44,2896,1.52,1.13,2.04
"Women",2009,"25-34","gamfit",44,2896,1.38,1.19,1.61
"Women",2009,"35-49","glmfit",18,1797,1,0.63,1.59
"Women",2009,"35-49","gamfit",18,1797,0.91,0.73,1.14
"Women",2010,"15-24","glmfit",20,1697,1.18,0.76,1.83
"Women",2010,"15-24","gamfit",20,1697,1.39,1.13,1.71
"Women",2010,"25-34","gamfit",36,2669,1.28,1.1,1.49
"Women",2010,"25-34","glmfit",36,2669,1.35,0.97,1.87
"Women",2010,"35-49","glmfit",23,1804,1.27,0.85,1.92
"Women",2010,"35-49","gamfit",23,1804,0.85,0.68,1.06
"Women",2012,"15-24","glmfit",26,1848,1.41,0.96,2.07
"Women",2012,"15-24","gamfit",26,1848,1.3,1.06,1.61
"Women",2012,"25-34","glmfit",31,2761,1.12,0.79,1.6
"Women",2012,"25-34","gamfit",31,2761,1.15,0.99,1.34
"Women",2012,"35-49","glmfit",14,2001,0.7,0.41,1.18
"Women",2012,"35-49","gamfit",14,2001,0.76,0.61,0.95
"Women",2014,"15-24","gamfit",29,2201,1.14,0.91,1.41
"Women",2014,"15-24","glmfit",29,2201,1.32,0.92,1.9
"Women",2014,"25-34","glmfit",27,3367,0.8,0.55,1.17
"Women",2014,"25-34","gamfit",27,3367,1.02,0.87,1.2
"Women",2014,"35-49","gamfit",15,2778,0.66,0.54,0.82
"Women",2014,"35-49","glmfit",15,2778,0.54,0.33,0.9
"Women",2016,"15-24","glmfit",23,2072,1.11,0.74,1.67
"Women",2016,"15-24","gamfit",23,2072,0.89,0.7,1.13
"Women",2016,"25-34","glmfit",34,2773,1.23,0.88,1.72
"Women",2016,"25-34","gamfit",34,2773,0.89,0.74,1.07
