"Sex","model","round","age","incidence","lb","ub","irr","year","py","newinf","newinf.lb","newinf.ub"
"Male","tensorproductgam",7,16,0.00311459577201008,0.00162928889524442,0.00595395135346322,1,2000,1,0.16958691237768,0.0887133012889893,0.324187246240656
"Male","tensorproductgam",7,44,0.00619604681162694,0.00347515734730198,0.0110472684414357,1,2000,1,0.117958667049205,0.0661591077241001,0.210314915220005
"Female","tensorproductgam",7,37,0.00843597930801859,0.00495697719355156,0.0143566823300894,1,2000,1,0.451886380943825,0.265528209900412,0.769038067025326
"Male","tensorproductgam",7,41,0.00820568988622886,0.00501657520791821,0.0134221742360563,1,2000,1,0.185186863058685,0.113214591208405,0.30291302457991
"Male","tensorproductgam",7,38,0.00985819053594345,0.00646256016276579,0.0150379908573838,1,2000,1,0.300442855170211,0.196956025543566,0.458304887975422
"Male","tensorproductgam",7,35,0.0117658166466374,0.00815365495735846,0.0169782069619411,1,2000,1,0.384398330032372,0.266386213843008,0.554691153119352
"Female","tensorproductgam",7,28,0.0141629847796641,0.00971360028895559,0.0206504418446236,1,2000,1,1.08715081970997,0.745616032267147,1.58512807349696
"Male","tensorproductgam",7,32,0.0144404264130445,0.0104087949091237,0.0200336270251393,1,2000,1,0.827227128475174,0.596273079289634,1.14763645358688
"Male","tensorproductgam",7,29,0.0174339443328653,0.0128276124995902,0.0236943870117026,1,2000,1,0.957233609393554,0.704316910645233,1.30097143644213
"Male","tensorproductgam",7,26,0.0183813469681899,0.0135218653149368,0.0249872268725938,1,2000,1,1.48276977123672,1.09076952708744,2.01564688038553
"Female","tensorproductgam",7,19,0.0129243520579702,0.00823333248951201,0.0202881246847665,1,2000,1,1.3093723751893,0.834122907605839,2.05539975137457
"Female","tensorproductgam",7,47,0.00762705124621099,0.00268856496016193,0.0216367882399334,1,2000,1,0.221294761056164,0.078007256177619,0.62777969217888
"Male","tensorproductgam",7,20,0.0081838950412705,0.00560016639226234,0.0119596692946609,1,2000,1,0.694731997578119,0.475398910280045,1.01525800337776
"Male","tensorproductgam",7,17,0.00398775805863049,0.00232093178426277,0.00685165089383429,1,2000,1,0.283930557351799,0.165251613912492,0.48784129540056
"Male","tensorproductgam",7,45,0.00550941325701536,0.00297630228844148,0.0101984380264248,1,2000,1,0.123884493031806,0.0669250395481721,0.229321756361469
"Female","tensorproductgam",7,38,0.00803688321090655,0.00461509911275784,0.0139956889695384,1,2000,1,0.405749832742277,0.232997748498986,0.706585912657875
"Male","tensorproductgam",7,42,0.00757485056124267,0.0045076874046797,0.0127290017860579,1,2000,1,0.167757521557807,0.0998301498957037,0.281904675778007
"Male","tensorproductgam",7,39,0.00932330498819446,0.00597987580939922,0.0145360904930941,1,2000,1,0.202292106862262,0.129748160956848,0.315396350876854
"Male","tensorproductgam",7,36,0.0110532332976341,0.0075370660661576,0.0162097512824657,1,2000,1,0.358894352236441,0.244725716967893,0.526324563119426
"Female","tensorproductgam",7,29,0.0130531815023589,0.00875975913608084,0.0194509397674781,1,2000,1,0.969193085110441,0.650408329983639,1.44422387125565
"Male","tensorproductgam",7,33,0.0134667256536131,0.00960011249533795,0.0188906848662191,1,2000,1,0.533103954112594,0.380037290639931,0.747820892554856
"Male","tensorproductgam",7,30,0.0164912351146512,0.0120693467184608,0.0225331860912343,1,2000,1,1.17351050504214,0.858850478126189,1.6034536168028
"Male","tensorproductgam",7,27,0.0185349533152619,0.0136663464465689,0.0251379910308939,1,2000,1,1.43509822389061,1.05813859786717,1.94634891531715
"Female","tensorproductgam",7,20,0.0145552358257058,0.00980308911198058,0.0216110337794437,1,2000,1,2.0460056013707,1.37800414050494,3.03782753461564
"Female","tensorproductgam",7,48,0.0078745690594559,0.002425318035335,0.0255673016770252,1,2000,1,0.334894864156954,0.103145524262765,1.08734306059649
"Male","tensorproductgam",7,21,0.0101459768588614,0.00709888503482864,0.0145009879601515,1,2000,1,0.790777652655216,0.55328725093712,1.13020731072287
"Male","tensorproductgam",7,18,0.00509911097813145,0.00320344981648316,0.00811654130915816,1,2000,1,0.348409134157099,0.218883484133465,0.554582385439743
"Male","tensorproductgam",7,46,0.00486881870933345,0.00250749901257527,0.00945380058196291,1,2000,1,0.056193445188112,0.0289402864913168,0.109110989037955
"Female","tensorproductgam",7,39,0.00767345009573295,0.00428579612725356,0.0137388327917121,1,2000,1,0.359640431077585,0.20086734747558,0.643913713658191
"Female","tensorproductgam",7,49,0.00813642821372022,0.00214064213952484,0.0309259837759323,1,2000,1,0.278676843131115,0.0733180921709947,1.05923082008737
"Male","tensorproductgam",7,22,0.0122725991375621,0.00871757126662101,0.0172773683156444,1,2000,1,0.718970783761911,0.510705106213375,1.0121672597635
"Female","tensorproductgam",7,33,0.010089187763414,0.00620429402565905,0.016406654698253,1,2000,1,0.469668609284949,0.288820291083589,0.76375728907432
"Female","tensorproductgam",7,30,0.0120745467831267,0.00789661099074999,0.018462943177611,1,2000,1,0.779254512162453,0.50962324763465,1.19154217854848
"Female","tensorproductgam",7,40,0.00737386841122401,0.00399388754963602,0.0136142880014243,1,2000,1,0.43821394623116,0.23734858371835,0.809069342917843
"Female","tensorproductgam",7,41,0.00715946451867234,0.00375293120342395,0.0136581060018802,1,2000,1,0.304806458574425,0.159776987008693,0.581479091126105
"Female","tensorproductgam",7,24,0.0176822796553649,0.0124963450250983,0.025020357006994,1,2000,1,1.78960910423304,1.26474488937109,2.53228992887757
